,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
60,5606,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Santo Domingo,11231.0,89.03926631644555,40.79779182619535,5.150302657227865,383614.3431825177,2569.310449883213,5.0,0.0,23.38
62,5702,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Catemu,14643.0,40.97520999795124,42.27958751621935,0.14151646059883807,194493.51824817518,1536.0756221844767,5.0,0.0,23.23
63,5703,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",14.0,Llaillay,25626.0,54.6320143604152,25.376570670412864,3.557989798478134,311301.3261560331,1084.1669721887604,5.0,0.0,7.98
64,5704,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Panquehue,7394.0,40.573437922639975,45.834460373275625,2.246904123579727,243877.5363206945,1820.9154694286667,5.0,0.0,20.56
65,5705,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Putaendo,17116.0,52.582379060528154,57.69455480252395,0.8629441624365483,208523.75933446136,2738.3367139959432,5.0,0.0,25.82
66,5706,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Santa María,15716.0,44.54059557139221,33.95902265207432,0.5782245876864446,238103.4415533215,1667.9852320675109,5.0,0.0,13.56
68,5802,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",30.0,Limache,47999.0,62.501302110460635,14.48155169899373,3.31402283182825,279308.2200545238,1400.560224089636,5.0,0.0,8.23
69,5803,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Olmué,18314.0,54.60303592879764,29.452877579993448,1.2355212355212355,292174.15723195724,1653.2854426368056,5.0,0.0,20.64
72,6102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Codegua,13545.0,36.913990402362494,45.60354374307863,2.294512793418371,248019.07887387727,2111.625130577526,6.0,0.0,15.76
73,6103,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Coinco,7592.0,79.03055848261327,53.76712328767124,0.0,228324.0018523419,1681.0059563203176,6.0,0.0,9.98
74,6104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Coltauco,20387.0,24.525432873890225,42.72820915289155,0.4793222606175454,233977.99838368074,1228.3919737646602,6.0,0.0,21.02
75,6105,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",15.0,Doñihue,21755.0,68.9496667432774,21.149161112387958,1.0988004761468728,257504.82171962273,1747.385800770501,6.0,0.0,13.04
76,6106,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",15.0,Graneros,34828.0,43.06879522223498,10.396807166647525,5.926829268292683,277123.0642073171,2514.0598875209,6.0,0.0,4.79
77,6107,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",13.0,Las Cabras,25703.0,50.57775356962222,60.08248064428277,2.238152130625249,204726.04412584627,1503.4005488605178,6.0,0.0,32.07
79,6109,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Malloa,13916.0,14.371945961483185,58.73095717160104,2.6179127836665006,254263.11005193144,624.6937775600196,6.0,0.0,13.34
80,6110,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Mostazal,26378.0,37.91037986200622,17.24543179922663,5.251133527819761,259534.0126533338,1301.883342475773,6.0,0.0,18.06
81,6111,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Olivar,14194.0,28.18092151613358,31.39354656897281,3.6036656790463724,284252.4642045063,892.8571428571428,6.0,0.0,7.81
82,6112,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Peumo,14742.0,67.8334011667345,15.934065934065933,4.451857078709346,217184.10424016934,216.73453303559705,6.0,0.0,7.93
83,6113,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",12.0,Pichidegua,20246.0,59.270967104613256,51.36817149066483,2.1273370389085398,213507.2371399697,2362.4953857512,6.0,0.0,14.01
84,6114,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Quinta de Tilcoco,13425.0,74.487895716946,43.64990689013035,2.2573735376503543,283662.65060141706,4980.356363347752,6.0,0.0,22.63
